SL,State,Pornography_I,Pornography_V,Pornography_R,POCSO_Other_I,POCSO_Other_V,POCSO_Other_R,Sec377_I,Sec377_V,Sec377_R
1,Andhra Pradesh,1,1,0.0,11,11,0.0,0,0,0.0
2,Arunachal Pradesh,1,1,0.1,0,0,0.0,0,0,0.0
3,Assam,4,4,0.0,1,1,0.0,0,0,0.0
4,Bihar,106,106,0.2,4,4,0.0,1,1,0.0
5,Chhattisgarh,15,15,0.1,6,6,0.0,0,0,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,2,2,0.0,74,74,0.2,0,0,0.0
8,Haryana,1,1,0.0,16,16,0.1,4,4,0.0
9,Himachal Pradesh,0,0,0.0,1,1,0.0,0,0,0.0
10,Jharkhand,71,71,0.4,1,1,0.0,0,0,0.0
11,Karnataka,54,55,0.2,10,10,0.0,0,0,0.0
12,Kerala,83,83,0.5,8,8,0.0,2,2,0.0
13,Madhya Pradesh,10,10,0.0,7,7,0.0,1,2,0.0
14,Maharashtra,24,24,0.0,4,5,0.0,10,10,0.0
15,Manipur,2,2,0.1,0,0,0.0,0,0,0.0
16,Meghalaya,2,2,0.1,2,2,0.1,0,0,0.0
17,Mizoram,0,0,0.0,2,2,0.3,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,33,33,0.1,0,0,0.0,0,0,0.0
20,Punjab,5,5,0.0,3,3,0.0,1,1,0.0
21,Rajasthan,35,35,0.1,179,179,0.5,1,1,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,53,53,0.1,28,29,0.1,2,2,0.0
24,Telangana,10,11,0.1,6,6,0.0,0,0,0.0
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,12,12,0.0,197,197,0.2,1,1,0.0
27,Uttarakhand,0,0,0.0,0,0,0.0,0,0,0.0
28,West Bengal,17,17,0.0,24,24,0.1,0,0,0.0
29,A&N Islands,1,1,0.5,1,1,0.5,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,1,1,0.0,0,0,0.0,4,4,0.0
33,Jammu & Kashmir,10,10,0.2,7,7,0.1,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,1,1,3.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
