SL,State,Buying_Total_I,Buying_Total_V,Buying_Total_R,Boys_I,Boys_V,Boys_R,Girls_I,Girls_V,Girls_R,Rape_I,Rape_V,Rape_R,Attempt_I,Attempt_V,Attempt_R
1,Andhra Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,614,614,4.1,35,35,0.2
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,54,54,9.2,6,6,1.0
3,Assam,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.0,0,0,0.0
4,Bihar,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.0
5,Chhattisgarh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0,47,49,12.3,0,0,0.0
7,Gujarat,0,0,0.0,0,0,0.0,0,0,0.0,7,7,0.0,0,0,0.0
8,Haryana,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,215,217,10.0,2,2,0.1
10,Jharkhand,0,0,0.0,0,0,0.0,0,0,0.0,295,295,2.1,5,5,0.0
11,Karnataka,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.0
12,Kerala,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,20,20,0.2
13,Madhya Pradesh,1,1,0.0,0,0,0.0,1,1,0.0,0,0,0.0,4,4,0.0
14,Maharashtra,0,0,0.0,0,0,0.0,0,0,0.0,28,28,0.1,0,0,0.0
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.1,3,3,0.2
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.5,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
20,Punjab,0,0,0.0,0,0,0.0,0,0,0.0,10,10,0.1,24,24,0.3
21,Rajasthan,0,0,0.0,0,0,0.0,0,0,0.0,1452,1453,5.2,49,50,0.2
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
24,Telangana,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.0
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,1,1,0.0,0,0,0.0,1,1,0.0,256,256,0.3,16,16,0.0
27,Uttarakhand,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.1
28,West Bengal,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0,46,46,14.2,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.0
33,Jammu & Kashmir,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.0,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.2,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
